#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2006mr     -2.28  -999.0  99.00  -999.0  99.00   227.3   0.52   146.0   0.99    16.6   3.81    38.9   0.35    96.8   0.48   303.5   1.10
SN2006mr      1.67  -999.0  99.00  -999.0  99.00  -999.0  99.00   131.4   1.12    21.2   0.43    51.4   0.50   118.1   0.69   334.2   0.81
SN2006mr      4.74  -999.0  99.00  -999.0  99.00   283.8   4.62   193.6   4.61    27.7   1.18    39.1   0.85   125.3   0.67   322.4   1.00
SN2006mr      7.55  -999.0  99.00  -999.0  99.00   330.0   7.03   265.9   4.92    54.1   2.36    39.4   1.25   165.1   1.60   382.7   1.74
SN2006mr      8.81  -999.0  99.00  -999.0  99.00   302.5  12.32   356.9   3.98  -999.0  99.00  -999.0  99.00   176.7   3.33  -999.0  99.00
SN2006mr     10.72  -999.0  99.00  -999.0  99.00   339.3   8.63   263.8   4.18  -999.0  99.00    41.1   1.14   177.0   1.45   394.2   5.71
SN2006mr     36.55  -999.0  99.00  -999.0  99.00   326.3  13.42   300.5   3.66  -999.0  99.00  -999.0  99.00   -97.6   4.19   506.5   4.32
SN2006mr     50.40  -999.0  99.00  -999.0  99.00   329.9   8.41   248.1   5.96  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00
SN2006mr     55.33   196.2   8.67  -999.0  99.00   279.3   6.46  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00  -999.0  99.00
SN2006mr     62.31  -999.0  99.00  -999.0  99.00   350.6   4.32   267.7   6.21  -999.0  99.00  -999.0  99.00  -999.0  99.00   829.8  20.65
