#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2007le     -9.18   202.0 -10.92    14.4  10.50    96.8   0.81   171.5   2.63    71.9   0.81    16.5   0.50   139.5   1.70   350.9   4.41
SN2007le     -4.28   179.3   1.67    12.2   0.32   103.8   1.12   152.9   1.17    79.5   0.88    14.3   0.33   110.2   0.81   219.3   6.34
SN2007le      2.67  -999.0  99.00  -999.0  99.00  -999.0  99.00   175.0   0.33    90.4   0.45    16.8   0.34   111.0   0.42   178.2   0.69
SN2007le      2.68  -999.0  99.00    16.6   0.44    87.0   0.72   174.5   0.44    81.0   0.07    13.5   0.09  -999.0  99.00  -999.0  99.00
SN2007le      3.74   143.1   1.58    15.6   0.41    99.1   0.81   185.0   1.62    87.7   0.67    14.1   0.34   113.0   0.51   184.4   0.91
SN2007le      4.73   143.0   2.19    18.3   0.37   131.6   1.39   197.6   1.16    80.8   0.92    14.4   0.41   117.7   0.60   193.4   1.31
SN2007le     10.65  -999.0  99.00  -999.0  99.00   209.1   2.18   266.0   0.47  -999.0  99.00  -999.0  99.00   137.1   2.20   251.6   2.12
SN2007le     16.62  -999.0  99.00  -999.0  99.00   299.3   3.88   317.3   1.75  -999.0  99.00  -999.0  99.00   168.9   3.34   318.7   3.21
SN2007le     22.54  -999.0  99.00  -999.0  99.00   362.0   5.89   358.4   0.94  -999.0  99.00  -999.0  99.00   197.3   1.04   389.2   2.04
SN2007le     24.53    77.3   1.95  -999.0  99.00   316.5   1.32   366.5   0.83  -999.0  99.00  -999.0  99.00   205.9   1.24   447.8   1.89
SN2007le     35.42    83.7   1.15  -999.0  99.00   299.0   2.34   447.3   1.35  -999.0  99.00  -999.0  99.00   246.3   1.11   419.3   1.89
SN2007le     38.45  -999.0  99.00  -999.0  99.00   303.8   1.77   429.8   1.40  -999.0  99.00  -999.0  99.00   240.2   0.52   427.6   2.73
SN2007le     44.41  -999.0  99.00  -999.0  99.00   302.0   2.49   414.2   1.23  -999.0  99.00  -999.0  99.00   236.1   0.88   442.3   2.56
