#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2007on     -3.87  -999.0  99.00    26.6   0.96   124.1   1.92    88.5   0.93    66.3   0.95    39.9   0.80   115.5   0.81   208.4   1.62
SN2007on     -2.72   118.4   0.68    26.4   0.30   128.8   0.74   103.4   0.45    68.0   0.54    46.8   0.39   116.2   0.58   233.0   0.76
SN2007on     -2.72  -999.0  99.00  -999.0  99.00   129.3   0.23    98.5   0.13    63.0   0.23    45.2   0.21   116.9   0.08  -999.0  99.00
SN2007on     -0.84  -999.0  99.00    25.6   0.47   134.7   0.97   109.5   1.56    67.8   0.87    41.9   1.03   116.9   0.34   229.5   2.02
SN2007on      2.02  -999.0  99.00    22.9   1.29   145.2   5.11   133.3   1.28    65.9   0.65    44.7   0.51  -999.0  99.00   178.4   1.24
SN2007on      4.04    96.7   1.06    22.0   0.26   181.9   0.54   151.5   1.04    61.3   0.98    41.9   0.28   117.6   0.48   283.2   0.87
SN2007on     14.91   104.2   1.59  -999.0  99.00   257.4   1.55   319.5   1.26  -999.0  99.00  -999.0  99.00   165.9   0.48   322.5   0.60
SN2007on     17.87  -999.0  99.00  -999.0  99.00   248.1   0.92   344.0   1.48  -999.0  99.00  -999.0  99.00   201.9   1.84   337.2   1.94
SN2007on     23.86  -999.0  99.00  -999.0  99.00   247.1   2.09   336.1   1.76  -999.0  99.00  -999.0  99.00   212.1   1.63   359.7   3.46
SN2007on     24.85  -999.0  99.00  -999.0  99.00   242.8   1.97   340.2   2.23  -999.0  99.00  -999.0  99.00   215.9   1.08   369.5   1.70
SN2007on     32.77   105.2   2.08  -999.0  99.00   254.5   1.56   343.1   1.31  -999.0  99.00  -999.0  99.00   213.4   0.87   400.8   0.63
SN2007on     41.80  -999.0  99.00  -999.0  99.00   276.8   1.50   334.2   0.70  -999.0  99.00  -999.0  99.00   201.2   0.78   406.3   1.35
SN2007on     48.63   113.7   1.94  -999.0  99.00   277.3   0.76   323.0   1.01  -999.0  99.00  -999.0  99.00   190.1   0.84   424.4   4.71
SN2007on     50.54  -999.0  99.00  -999.0  99.00  -999.0  99.00   310.4   0.96  -999.0  99.00  -999.0  99.00   192.7   1.50   435.6   9.43
SN2007on     55.51   114.5   2.40  -999.0  99.00   277.0   0.75   307.1   1.19  -999.0  99.00  -999.0  99.00   184.3   2.45   429.2   3.29
SN2007on     72.42   120.1   2.14  -999.0  99.00   269.1   1.08   239.9   1.54  -999.0  99.00  -999.0  99.00   168.1   1.85   364.9   1.71
SN2007on     77.45   124.2   1.87  -999.0  99.00   265.4   1.96   245.7   1.16  -999.0  99.00  -999.0  99.00   170.6   1.87   397.9  46.78
SN2007on     89.32  -999.0  99.00  -999.0  99.00   231.9   3.56   246.0   1.21  -999.0  99.00  -999.0  99.00   188.6   3.12   335.2   3.39
SN2007on    101.21   140.8  10.46  -999.0  99.00   220.2   1.47   237.8   1.43  -999.0  99.00  -999.0  99.00   209.8   1.43   362.6  14.11
SN2007on    284.31  -999.0  99.00  -999.0  99.00  -999.0  99.00   249.6   1.13  -999.0  99.00  -999.0  99.00   342.0   5.42  -999.0  99.00
