#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2008bf     -8.54  -999.0  99.00     5.8   0.51   105.5   2.47    81.1   1.44    60.8   1.37     7.6   0.79    80.2   1.89   157.8   1.38
SN2008bf     -4.76  -999.0  99.00    10.0   0.41   106.2   0.96    99.5   0.56    73.8   0.39     7.8   0.24    75.0   0.53   130.4   4.07
SN2008bf     -3.68  -999.0  99.00    10.9   0.73    99.8   2.13   102.0   1.00    78.0   0.45    11.1   0.30    73.0   0.66    99.4   1.57
SN2008bf     -2.70  -999.0  99.00    10.6   0.30   101.1   0.92   103.5   0.30    78.8   0.18    10.6   0.20    72.8   0.48    95.7   1.99
SN2008bf     -0.69   130.9   1.25     9.1   0.66   105.5   0.82   127.0   2.59   100.7   2.54    15.9   1.53    81.7   1.35   148.7   7.39
SN2008bf      1.30   126.9   1.59    11.4   0.44    94.4   1.30   116.9   1.54    86.8   0.87    13.3   0.92    85.2   2.69  -999.0  99.00
SN2008bf      2.14  -999.0  99.00    10.5   0.60    98.0   2.07   118.9   0.88    86.5   0.99    13.9   0.69    87.5   0.79   126.6   1.37
SN2008bf      3.23   122.8   1.45    12.8   0.46    94.0   1.01   129.7   1.33    91.8   1.23    19.6   0.96    88.5   0.75  -999.0  99.00
SN2008bf      4.27   118.4   0.98    12.3   0.41    92.2   1.30   134.7   3.02    87.9   0.87    21.6   1.00    88.7   1.73  -999.0  99.00
SN2008bf      5.20   117.1   1.25    14.9   0.44   117.0   1.37   141.1   0.75    85.7   0.92    19.6   0.92    90.4   0.69  -999.0  99.00
SN2008bf      8.98  -999.0  99.00    15.7   0.42   146.8   2.40   177.2   1.41    64.8   1.05    27.2   0.46   108.5   3.12   222.6   5.22
SN2008bf     13.84    38.4   1.32  -999.0  99.00   211.3   2.58   224.4   0.53  -999.0  99.00  -999.0  99.00   150.0   1.20   250.3   4.11
SN2008bf     30.39  -999.0  99.00  -999.0  99.00   272.8   3.41   368.5   2.28  -999.0  99.00  -999.0  99.00   209.8   1.58   413.4   6.25
SN2008bf     42.07  -999.0  99.00  -999.0  99.00   282.3   4.20   373.4   1.69  -999.0  99.00  -999.0  99.00   220.4   1.33   409.8   6.64
