#SN_name     Epoch   EW(1)   Err    EW(2)   Err    EW(3)   Err    EW(4)   Err    EW(5)   Err    EW(6)   Err    EW(7)   Err    EW(8)   Err  
SN2008fp     -3.65  -999.0  99.00     9.9   0.86    98.2   1.49    98.6   0.98    56.3   0.43     9.6   1.03    66.2   0.54    65.2   2.40
SN2008fp      0.35  -999.0  99.00     4.4   0.82    94.2   0.98   110.8   0.94    71.9   0.34     9.6   1.57    74.3   0.65    85.6   0.82
SN2008fp      1.36  -999.0  99.00     6.4   1.38    93.9   0.75   115.1   0.63    75.6   0.57    12.1   1.43    76.3   0.45    98.7   1.48
SN2008fp      7.32  -999.0  99.00    12.2   2.48    92.9   0.83   158.1   0.64    56.5   0.53    17.5   1.04    99.7   1.54   177.4   1.29
SN2008fp     23.20    86.2   3.31  -999.0  99.00   311.8   3.41   326.5   1.81  -999.0  99.00  -999.0  99.00   190.6   0.73   396.5   2.31
SN2008fp     29.20  -999.0  99.00  -999.0  99.00   276.9   4.03   391.3   2.25  -999.0  99.00  -999.0  99.00   214.0   0.97   411.6   3.59
SN2008fp     36.20  -999.0  99.00  -999.0  99.00   264.1   2.58   390.2   2.05  -999.0  99.00  -999.0  99.00   224.4   1.05   397.7   1.38
SN2008fp     42.10  -999.0  99.00  -999.0  99.00  -999.0  99.00   375.2   1.12  -999.0  99.00  -999.0  99.00   206.6   1.13   394.5   1.38
SN2008fp     59.90    84.2   1.03  -999.0  99.00   285.5   1.00   324.5   0.77  -999.0  99.00  -999.0  99.00   214.9   0.84   439.3   3.36
SN2008fp     63.00  -999.0  99.00  -999.0  99.00   261.2   2.90   295.3   1.32  -999.0  99.00  -999.0  99.00   207.2   1.44   418.9   5.06
SN2008fp     84.70  -999.0  99.00  -999.0  99.00   295.5   4.09   263.6   0.94  -999.0  99.00  -999.0  99.00   201.7   1.33   495.5   1.38
SN2008fp     93.60  -999.0  99.00  -999.0  99.00   304.9   3.41   254.8   1.59  -999.0  99.00  -999.0  99.00   200.7   1.56   540.2   4.45
SN2008fp     98.70  -999.0  99.00  -999.0  99.00   310.7   4.84   246.7   0.66  -999.0  99.00  -999.0  99.00   198.8   7.23   518.5   4.69
SN2008fp    140.40   125.1  29.70  -999.0  99.00   336.7   6.20   244.3   3.64  -999.0  99.00  -999.0  99.00   202.2   4.33   432.0  10.67
SN2008fp    155.20  -999.0  99.00  -999.0  99.00   338.7   3.69   227.5   2.22  -999.0  99.00  -999.0  99.00   188.7   8.87   291.1   7.25
