# CMFGEN MODEL DDC20
#
# TIME SINCE EXPLOSION = 1.3000 days
# TOTAL MASS = 2.87640e+33 g = 1.44616e+00 Msun
# KINETIC ENERGY = 1.43754e+51 erg
# 56Ni MASS AT 1.3000 days PAST EXPLOSION = 5.13770e+32 g = 2.58306e-01 Msun
# 56Co MASS AT 1.3000 days PAST EXPLOSION = 8.17111e+31 g = 4.10815e-02 Msun
#
# COLUMNS:
#
# (1) velocity at zone center (km/s)
# (2) radius at zone center [cm] = velocity at zone center * time_since_explosion
# (3) shell node volumes [cm^3], for zone index i = 1,...,n:
#       dvol_1 = 4pi/3 * [0.5*(r_1+r_2)^3 - r_1^3]
#       dvol_2,...,{n-1} = 4pi/3 * [0.5*(r_{i+1}+r_i)^3 - 0.5*(r_{i-1}+r_i)^3]
#       dvol_n = 4pi/3 * [r_n^3 - 0.5*(r_{n-1}+r_n)^3]
# (4) density at zone center [g/cm^3] (NOT mean density over shell)
# (5) shell mass estimate = shell node volumes * density at zone center
# (6) temperature at zone center [K]
# (7)-(26) elemental mass fractions at t = 1.3000 days since explosion
# (27)-(49) isotopic mass fractions for radioactive nuclei at t = 1.3000 days since explosion
#
# RADIOACTIVE CHAINS:
#
# ni56 -> co56   thalf_day = 6.07490000e+00   MeV/decay = 1.71827580e+00
# co56 -> fe56   thalf_day = 7.72330000e+01   MeV/decay = 3.74889320e+00
# ni57 -> co57   thalf_day = 1.48333000e+00   MeV/decay = 2.09130000e+00
# co57 -> fe57   thalf_day = 2.71740000e+02   MeV/decay = 1.21800000e-01
# cr48 -> v48    thalf_day = 8.98330000e-01   MeV/decay = 4.34000000e-01
# v48  -> ti48   thalf_day = 1.59735000e+01   MeV/decay = 3.05530000e+00
# cr49 -> v49    thalf_day = 2.93700000e-02   MeV/decay = 1.65300000e+00
# v49  -> ti49   thalf_day = 3.30000000e+02   MeV/decay = 0.00000000e+00
# mn51 -> cr51   thalf_day = 3.20000000e-02   MeV/decay = 1.92560000e+00
# cr51 -> v51    thalf_day = 2.77000000e+01   MeV/decay = 3.17000000e-02
# co55 -> fe55   thalf_day = 7.30420000e-01   MeV/decay = 2.37300000e+00
# fe55 -> mn55   thalf_day = 1.00220000e+03   MeV/decay = 0.00000000e+00
# ar37 -> cl37   thalf_day = 3.50400000e+01   MeV/decay = 1.00000000e-04
# fe52 -> mn52   thalf_day = 3.44790000e-01   MeV/decay = 9.42100000e-01
# mn52 -> cr52   thalf_day = 1.47200000e-02   MeV/decay = 3.56040000e+00
# ti44 -> sc44   thalf_day = 2.19150000e+04   MeV/decay = 0.00000000e+00
# sc44 -> ca44   thalf_day = 1.65420000e-01   MeV/decay = 2.73170000e+00
# ar41 -> k41    thalf_day = 7.61200000e-02   MeV/decay = 1.74700000e+00
# k42  -> ca42   thalf_day = 5.13400000e-01   MeV/decay = 1.70600000e+00
# k43  -> ca43   thalf_day = 9.29000000e-01   MeV/decay = 1.27400000e+00
# sc43 -> ca43   thalf_day = 1.62130000e-01   MeV/decay = 1.40400000e+00
# sc47 -> ti47   thalf_day = 3.34920000e+00   MeV/decay = 2.70870000e-01
# co61 -> ni61   thalf_day = 6.87500000e-02   MeV/decay = 5.55000000e-01
#
# IONS USED IN CMFGEN CALCULATION:
#
# NOTE: N_f,N_s = number of full,super levels
#
# ion   N_s  N_f 
# CI      14   26
# CII     14   26
# CIII    62  112
# CIV     59   64
# OI      19   51
# OII     30  111
# OIII    50   86
# OIV     53   72
# NeI     70  139
# NeII    22   91
# NeIII   23   71
# NaI     22   71
# MgII    22   65
# MgIII   31   99
# AlII    26   44
# AlIII   17   45
# SiII    31   59
# SiIII   33   61
# SiIV    37   48
# SII     56  324
# SIII    48   98
# SIV     27   67
# ArI     56  110
# ArII   134  415
# ArIII   32  346
# CaII    21   77
# CaIII   16   40
# CaIV    18   69
# ScII    38   85
# ScIII   25   45
# TiII    37  152
# TiIII   33  206
# VI       1    1
# ClIV     1    1
# KIII     1    1
# CrII    28  196
# CrIII   30  145
# CrIV    29  234
# MnII    25   97
# MnIII   30  175
# FeI     44  136
# FeII   275  827
# FeIII   69  607
# FeIV   100 1000
# FeV     47  191
# FeVI    44  433
# FeVII   29  153
# CoII    34  144
# CoIII   37  361
# CoIV    37  314
# CoV     32  387
# CoVI    28  323
# CoVII   31  319
# NiII    19   93
# NiIII   15   67
# NiIV    36  200
# NiV     46  183
# NiVI    37  314
# NiVII   37  308
#
#vel[km/s]  rad[cm]     dvol[cm^3]  dens[g/cm^3] dmass[g]    temp[K]     c           o           ne          na          mg          al          si          s           cl          ar          k           ca          sc          ti          v           cr          mn          fe          co          ni          ni56        co56        ni57        co57        cr48        v48         cr49        v49         mn51        cr51        co55        fe55        ar37        fe52        mn52        ti44        sc44        ar41        k42         k43         sc43        sc47        co61       
#(1)        (2)         (3)         (4)         (5)         (6)         (7)         (8)         (9)         (10)        (11)        (12)        (13)        (14)        (15)        (16)        (17)        (18)        (19)        (20)        (21)        (22)        (23)        (24)        (25)        (26)        (27)        (28)        (29)        (30)        (31)        (32)        (33)        (34)        (35)        (36)        (37)        (38)        (39)        (40)        (41)        (42)        (43)        (44)        (45)        (46)        (47)        (48)        (49)       
8.76916e+02 9.84952e+12 2.75744e+37 1.95773e-09 5.39833e+28 6.85229e+04 5.67937e-10 1.15664e-08 2.97785e-13 7.60366e-16 6.83104e-09 1.31084e-13 5.17221e-04 3.36422e-04 2.51211e-09 7.11518e-05 8.36276e-09 9.05347e-05 1.68939e-08 3.79564e-03 1.36120e-03 2.61481e-01 1.61836e-02 5.82924e-01 1.52012e-02 1.17715e-01 2.37751e-02 3.84672e-03 7.91502e-04 3.44125e-03 1.40162e-06 2.34216e-06 3.34859e-20 1.15581e-06 1.79598e-18 3.75656e-05 2.80643e-04 8.56035e-03 4.54164e-09 1.87793e-05 8.37451e-07 6.46900e-08 4.90214e-13 1.23516e-20 8.53352e-15 2.82001e-13 1.12724e-14 1.66411e-08 1.21390e-10
8.80934e+02 9.89465e+12 1.12340e+38 1.95773e-09 2.19933e+29 6.85229e+04 5.67937e-10 1.15664e-08 2.97785e-13 7.60366e-16 6.83104e-09 1.31084e-13 5.17221e-04 3.36422e-04 2.51211e-09 7.11518e-05 8.36276e-09 9.05347e-05 1.68939e-08 3.79564e-03 1.36120e-03 2.61481e-01 1.61836e-02 5.82924e-01 1.52012e-02 1.17715e-01 2.37751e-02 3.84672e-03 7.91502e-04 3.44125e-03 1.40162e-06 2.34216e-06 3.34859e-20 1.15581e-06 1.79598e-18 3.75656e-05 2.80643e-04 8.56035e-03 4.54164e-09 1.87793e-05 8.37451e-07 6.46900e-08 4.90214e-13 1.23516e-20 8.53352e-15 2.82001e-13 1.12724e-14 1.66411e-08 1.21390e-10
8.93100e+02 1.00313e+13 2.64659e+38 1.95773e-09 5.18132e+29 6.85229e+04 5.67937e-10 1.15664e-08 2.97785e-13 7.60366e-16 6.83104e-09 1.31084e-13 5.17221e-04 3.36422e-04 2.51211e-09 7.11518e-05 8.36276e-09 9.05347e-05 1.68939e-08 3.79564e-03 1.36120e-03 2.61481e-01 1.61836e-02 5.82924e-01 1.52012e-02 1.17715e-01 2.37751e-02 3.84672e-03 7.91502e-04 3.44125e-03 1.40162e-06 2.34216e-06 3.34859e-20 1.15581e-06 1.79598e-18 3.75656e-05 2.80643e-04 8.56035e-03 4.54164e-09 1.87793e-05 8.37451e-07 6.46900e-08 4.90214e-13 1.23516e-20 8.53352e-15 2.82001e-13 1.12724e-14 1.66411e-08 1.21390e-10
9.17938e+02 1.03103e+13 5.88762e+38 1.95773e-09 1.15264e+30 6.85231e+04 5.67937e-10 1.15664e-08 2.97785e-13 7.60366e-16 6.83104e-09 1.31084e-13 5.17221e-04 3.36422e-04 2.51211e-09 7.11518e-05 8.36276e-09 9.05347e-05 1.68939e-08 3.79564e-03 1.36120e-03 2.61481e-01 1.61836e-02 5.82924e-01 1.52012e-02 1.17715e-01 2.37751e-02 3.84672e-03 7.91502e-04 3.44125e-03 1.40162e-06 2.34216e-06 3.34859e-20 1.15581e-06 1.79598e-18 3.75656e-05 2.80643e-04 8.56035e-03 4.54164e-09 1.87793e-05 8.37451e-07 6.46900e-08 4.90214e-13 1.23516e-20 8.53352e-15 2.82001e-13 1.12724e-14 1.66411e-08 1.21390e-10
9.70402e+02 1.08996e+13 9.47616e+38 1.95772e-09 1.85516e+30 6.85251e+04 5.67937e-10 1.15664e-08 2.97785e-13 7.60366e-16 6.83104e-09 1.31084e-13 5.17221e-04 3.36422e-04 2.51211e-09 7.11518e-05 8.36276e-09 9.05347e-05 1.68939e-08 3.79564e-03 1.36120e-03 2.61481e-01 1.61836e-02 5.82924e-01 1.52012e-02 1.17715e-01 2.37751e-02 3.84672e-03 7.91502e-04 3.44125e-03 1.40162e-06 2.34216e-06 3.34859e-20 1.15581e-06 1.79598e-18 3.75656e-05 2.80643e-04 8.56035e-03 4.54164e-09 1.87793e-05 8.37451e-07 6.46900e-08 4.90214e-13 1.23516e-20 8.53352e-15 2.82001e-13 1.12724e-14 1.66411e-08 1.21390e-10
1.03049e+03 1.15745e+13 1.17365e+39 1.95731e-09 2.29719e+30 6.85393e+04 5.67937e-10 1.15664e-08 2.97785e-13 7.60366e-16 6.83104e-09 1.31084e-13 5.17221e-04 3.36422e-04 2.51211e-09 7.11518e-05 8.36276e-09 9.05347e-05 1.68939e-08 3.79564e-03 1.36120e-03 2.61481e-01 1.61836e-02 5.82924e-01 1.52012e-02 1.17715e-01 2.37751e-02 3.84672e-03 7.91502e-04 3.44125e-03 1.40162e-06 2.34216e-06 3.34859e-20 1.15581e-06 1.79598e-18 3.75656e-05 2.80643e-04 8.56035e-03 4.54164e-09 1.87793e-05 8.37451e-07 6.46900e-08 4.90214e-13 1.23516e-20 8.53352e-15 2.82001e-13 1.12724e-14 1.66411e-08 1.21390e-10
1.09428e+03 1.22909e+13 1.40517e+39 1.95119e-09 2.74175e+30 6.86115e+04 5.67937e-10 1.15664e-08 2.97785e-13 7.60366e-16 6.83104e-09 1.31084e-13 5.17221e-04 3.36422e-04 2.51211e-09 7.11518e-05 8.36276e-09 9.05347e-05 1.68939e-08 3.79564e-03 1.36120e-03 2.61481e-01 1.61836e-02 5.82924e-01 1.52012e-02 1.17715e-01 2.37751e-02 3.84672e-03 7.91502e-04 3.44125e-03 1.40162e-06 2.34216e-06 3.34859e-20 1.15581e-06 1.79598e-18 3.75656e-05 2.80643e-04 8.56035e-03 4.54164e-09 1.87793e-05 8.37451e-07 6.46900e-08 4.90214e-13 1.23516e-20 8.53352e-15 2.82001e-13 1.12724e-14 1.66411e-08 1.21390e-10
1.16201e+03 1.30518e+13 1.68260e+39 1.93906e-09 3.26266e+30 6.89284e+04 5.69446e-10 1.15971e-08 2.98576e-13 7.62386e-16 6.84919e-09 1.31425e-13 5.18595e-04 3.37316e-04 2.51734e-09 7.13407e-05 8.38494e-09 9.07750e-05 1.68637e-08 3.78876e-03 1.35885e-03 2.61231e-01 1.61637e-02 5.83065e-01 1.52105e-02 1.17841e-01 2.38382e-02 3.85694e-03 7.93604e-04 3.45031e-03 1.40534e-06 2.34839e-06 3.35749e-20 1.15859e-06 1.80075e-18 3.76542e-05 2.81388e-04 8.58270e-03 4.55370e-09 1.88292e-05 8.39675e-07 6.48618e-08 4.91517e-13 1.23291e-20 8.51855e-15 2.81487e-13 1.13023e-14 1.66110e-08 1.21171e-10
1.23394e+03 1.38597e+13 2.01481e+39 1.93897e-09 3.90664e+30 6.99707e+04 5.84159e-10 1.18968e-08 3.06291e-13 7.82083e-16 7.02615e-09 1.34746e-13 5.31994e-04 3.46031e-04 2.56827e-09 7.31832e-05 8.60118e-09 9.31183e-05 1.65695e-08 3.72168e-03 1.33590e-03 2.58795e-01 1.59693e-02 5.84437e-01 1.53012e-02 1.19073e-01 2.44541e-02 3.95658e-03 8.14106e-04 3.53866e-03 1.44165e-06 2.40905e-06 3.44422e-20 1.18574e-06 1.84727e-18 3.85186e-05 2.88657e-04 8.80062e-03 4.67132e-09 1.93156e-05 8.61367e-07 6.65375e-08 5.04214e-13 1.21097e-20 8.37263e-15 2.76473e-13 1.15943e-14 1.63181e-08 1.19039e-10
1.31033e+03 1.47176e+13 2.41260e+39 1.97091e-09 4.75502e+30 7.23515e+04 6.44173e-10 1.31190e-08 3.37757e-13 8.62428e-16 7.74798e-09 1.48279e-13 5.86648e-04 3.81577e-04 2.77560e-09 8.06979e-05 9.48168e-09 1.02676e-04 1.53825e-08 3.45103e-03 1.24329e-03 2.48901e-01 1.51844e-02 5.89966e-01 1.56735e-02 1.24105e-01 2.69659e-02 4.36299e-03 8.97730e-04 3.89813e-03 1.58973e-06 2.65651e-06 3.79800e-20 1.29589e-06 2.03701e-18 4.20152e-05 3.18308e-04 9.68598e-03 5.15090e-09 2.12996e-05 9.49845e-07 7.33721e-08 5.56000e-13 1.12245e-20 7.78366e-15 2.56244e-13 1.27848e-14 1.51361e-08 1.10439e-10
