# CMFGEN MODEL SCH6p0
#
# TIME SINCE EXPLOSION = 1.0000 days
# TOTAL MASS = 2.16934e+33 g = 1.09067e+00 Msun
# KINETIC ENERGY = 1.30809e+51 erg
# 56Ni MASS AT 1.0000 days PAST EXPLOSION = 1.25085e+33 g = 6.28886e-01 Msun
# 56Co MASS AT 1.0000 days PAST EXPLOSION = 1.50474e+32 g = 7.56532e-02 Msun
#
# COLUMNS:
#
# (1) velocity at zone center (km/s)
# (2) radius at zone center [cm] = velocity at zone center * time_since_explosion
# (3) shell node volumes [cm^3], for zone index i = 1,...,n:
#       dvol_1 = 4pi/3 * [0.5*(r_1+r_2)^3 - r_1^3]
#       dvol_2,...,{n-1} = 4pi/3 * [0.5*(r_{i+1}+r_i)^3 - 0.5*(r_{i-1}+r_i)^3]
#       dvol_n = 4pi/3 * [r_n^3 - 0.5*(r_{n-1}+r_n)^3]
# (4) density at zone center [g/cm^3] (NOT mean density over shell)
# (5) shell mass estimate = shell node volumes * density at zone center
# (6) temperature at zone center [K]
# (7)-(26) elemental mass fractions at t = 1.0000 days since explosion
# (27)-(49) isotopic mass fractions for radioactive nuclei at t = 1.0000 days since explosion
#
# RADIOACTIVE CHAINS:
#
# ni56 -> co56   thalf_day = 6.07490000e+00   MeV/decay = 1.71827580e+00
# co56 -> fe56   thalf_day = 7.72330000e+01   MeV/decay = 3.74889320e+00
# ni57 -> co57   thalf_day = 1.48333000e+00   MeV/decay = 2.09130000e+00
# co57 -> fe57   thalf_day = 2.71740000e+02   MeV/decay = 1.21800000e-01
# cr48 -> v48    thalf_day = 8.98330000e-01   MeV/decay = 4.34000000e-01
# v48  -> ti48   thalf_day = 1.59735000e+01   MeV/decay = 3.05530000e+00
# cr49 -> v49    thalf_day = 2.93700000e-02   MeV/decay = 1.65300000e+00
# v49  -> ti49   thalf_day = 3.30000000e+02   MeV/decay = 0.00000000e+00
# mn51 -> cr51   thalf_day = 3.20000000e-02   MeV/decay = 1.92560000e+00
# cr51 -> v51    thalf_day = 2.77000000e+01   MeV/decay = 3.17000000e-02
# co55 -> fe55   thalf_day = 7.30420000e-01   MeV/decay = 2.37300000e+00
# fe55 -> mn55   thalf_day = 1.00220000e+03   MeV/decay = 0.00000000e+00
# ar37 -> cl37   thalf_day = 3.50400000e+01   MeV/decay = 1.00000000e-04
# fe52 -> mn52   thalf_day = 3.44790000e-01   MeV/decay = 9.42100000e-01
# mn52 -> cr52   thalf_day = 1.47200000e-02   MeV/decay = 3.56040000e+00
# ti44 -> sc44   thalf_day = 2.19150000e+04   MeV/decay = 0.00000000e+00
# sc44 -> ca44   thalf_day = 1.65420000e-01   MeV/decay = 2.73170000e+00
# ar41 -> k41    thalf_day = 7.61200000e-02   MeV/decay = 1.74700000e+00
# k42  -> ca42   thalf_day = 5.13400000e-01   MeV/decay = 1.70600000e+00
# k43  -> ca43   thalf_day = 9.29000000e-01   MeV/decay = 1.27400000e+00
# sc43 -> ca43   thalf_day = 1.62130000e-01   MeV/decay = 1.40400000e+00
# sc47 -> ti47   thalf_day = 3.34920000e+00   MeV/decay = 2.70870000e-01
# co61 -> ni61   thalf_day = 6.87500000e-02   MeV/decay = 5.55000000e-01
#
# IONS USED IN CMFGEN CALCULATION:
#
# NOTE: N_f,N_s = number of full,super levels
#
# ion   N_s  N_f 
# CI      14   26
# CII     14   26
# CIII    62  112
# OI      38  101
# OII     63  143
# OIII    44   86
# NeI     70  139
# NeII    22   91
# NeIII   24   56
# NaI     22   71
# MgII    31   80
# MgIII   31   99
# AlII    26   44
# AlIII   31   80
# SiII    31   59
# SiIII   33   61
# SiIV    37   48
# SII     56  324
# SIII    48   98
# SIV     27   67
# ArI     56  110
# ArII   134  415
# ArIII   32  346
# CaII    21   77
# CaIII   16   40
# CaIV    18   69
# ScII    38   85
# ScIII   25   45
# TiII    37  152
# TiIII   33  206
# VI       1    1
# ClIV     1    1
# KIII     1    1
# CrII    28  196
# CrIII   30  145
# CrIV    29  234
# MnII    25   97
# MnIII   30  175
# FeI     44  136
# FeII   275  827
# FeIII   83  698
# FeIV   100 1000
# FeV     47  191
# FeVI    44  433
# FeVII   29  153
# CoII   136 2747
# CoIII  124 3917
# CoIV    37  314
# CoV     32  387
# CoVI    28  323
# CoVII   31  319
# NiII    59 1000
# NiIII   47 1000
# NiIV    28  254
# NiV     46  183
# NiVI    37  314
# NiVII   37  308
#
#vel[km/s]  rad[cm]     dvol[cm^3]  dens[g/cm^3] dmass[g]    temp[K]     c           o           ne          na          mg          al          si          s           cl          ar          k           ca          sc          ti          v           cr          mn          fe          co          ni          ni56        co56        ni57        co57        cr48        v48         cr49        v49         mn51        cr51        co55        fe55        ar37        fe52        mn52        ti44        sc44        ar41        k42         k43         sc43        sc47        co61       
#(1)        (2)         (3)         (4)         (5)         (6)         (7)         (8)         (9)         (10)        (11)        (12)        (13)        (14)        (15)        (16)        (17)        (18)        (19)        (20)        (21)        (22)        (23)        (24)        (25)        (26)        (27)        (28)        (29)        (30)        (31)        (32)        (33)        (34)        (35)        (36)        (37)        (38)        (39)        (40)        (41)        (42)        (43)        (44)        (45)        (46)        (47)        (48)        (49)       
1.21391e+03 1.04882e+13 2.12381e+38 9.23408e-10 1.96115e+29 1.22748e+05 6.15201e-07 9.43603e-10 1.60735e-09 1.38580e-13 3.26970e-09 8.67036e-10 2.15584e-08 2.40162e-07 1.67176e-08 5.04571e-07 3.75303e-08 9.54457e-07 3.30526e-10 2.79746e-06 2.02898e-06 4.65832e-06 2.00826e-08 4.72152e-04 1.08858e-01 8.75323e-01 8.35056e-01 1.00447e-01 1.41427e-02 8.41052e-03 1.78395e-06 2.02459e-06 1.55114e-21 2.73989e-11 5.68414e-19 1.41229e-09 1.44535e-07 2.28642e-07 4.86792e-09 4.47025e-07 1.99348e-08 2.74745e-06 2.04360e-11 1.11129e-24 2.59174e-21 4.74106e-21 6.36933e-12 8.12812e-21 4.18750e-25
1.24897e+03 1.07911e+13 5.70556e+38 9.57940e-10 5.46558e+29 1.22746e+05 5.61909e-07 8.61990e-10 1.46731e-09 1.27094e-13 2.98389e-09 7.92162e-10 1.96667e-08 2.18968e-07 1.52883e-08 4.62231e-07 3.43211e-08 8.74719e-07 3.01995e-10 2.56374e-06 1.85958e-06 8.49940e-06 4.78758e-08 4.73360e-04 1.08854e-01 8.76257e-01 8.34337e-01 1.00361e-01 1.42811e-02 8.49282e-03 1.63499e-06 1.85554e-06 2.45469e-21 4.33556e-11 5.21519e-19 1.29577e-09 2.46837e-07 3.90475e-07 4.45218e-09 1.06880e-06 4.76625e-08 2.51790e-06 1.87286e-11 1.11129e-24 2.59195e-21 4.74106e-21 5.81806e-12 8.12821e-21 4.18750e-25
1.30346e+03 1.12619e+13 9.44253e+38 1.00623e-09 9.50134e+29 1.22904e+05 4.82770e-07 7.40798e-10 1.25936e-09 1.10039e-13 2.55946e-09 6.80977e-10 1.68577e-08 1.87495e-07 1.31444e-08 3.98722e-07 2.95072e-08 7.55113e-07 2.59198e-10 2.21315e-06 1.60547e-06 1.42610e-05 8.95655e-08 4.75171e-04 1.08848e-01 8.77659e-01 8.33258e-01 1.00231e-01 1.44887e-02 8.61626e-03 1.41155e-06 1.60196e-06 3.81001e-21 6.72906e-11 4.51177e-19 1.12100e-09 4.00290e-07 6.33225e-07 3.82856e-09 2.00146e-06 8.92540e-08 2.17358e-06 1.61674e-11 1.11129e-24 2.59225e-21 4.74106e-21 4.99115e-12 8.12835e-21 4.18750e-25
1.38468e+03 1.19637e+13 1.27229e+39 1.06353e-09 1.35311e+30 1.23375e+05 3.78571e-07 5.81228e-10 9.85532e-10 8.75904e-14 2.00059e-09 5.34587e-10 1.31588e-08 1.46053e-07 1.02896e-08 3.14162e-07 2.30970e-08 5.95871e-07 2.02210e-10 1.74639e-06 1.26716e-06 2.18779e-05 1.44694e-07 4.77564e-04 1.08839e-01 8.79522e-01 8.31810e-01 1.00057e-01 1.47666e-02 8.78155e-03 1.11409e-06 1.26437e-06 5.59887e-21 9.88819e-11 3.57500e-19 8.88249e-10 6.03698e-07 9.54999e-07 2.99820e-09 3.23477e-06 1.44252e-07 1.71516e-06 1.27575e-11 1.11129e-24 2.59272e-21 4.74106e-21 3.88999e-12 8.12856e-21 4.18750e-25
1.46709e+03 1.26756e+13 1.48312e+39 1.10331e-09 1.63635e+30 1.23932e+05 3.00421e-07 4.61556e-10 7.80111e-10 7.07828e-14 1.58128e-09 4.24811e-10 1.03833e-08 1.14960e-07 8.11852e-09 2.49884e-07 1.82225e-08 4.74860e-07 1.58875e-10 1.39173e-06 1.01012e-06 2.74876e-05 1.85345e-07 4.79319e-04 1.08831e-01 8.80931e-01 8.30671e-01 9.99196e-02 1.49829e-02 8.91022e-03 8.88073e-07 1.00787e-06 6.90677e-21 1.21979e-10 2.86230e-19 7.11171e-10 7.55312e-07 1.19484e-06 2.36692e-09 4.14416e-06 1.84806e-07 1.36684e-06 1.01666e-11 1.11129e-24 2.59329e-21 4.74106e-21 3.05242e-12 8.12884e-21 4.18750e-25
1.55439e+03 1.34299e+13 1.76397e+39 1.13016e-09 1.99356e+30 1.24445e+05 2.43994e-07 3.75155e-10 6.31723e-10 5.86844e-14 1.27831e-09 3.45570e-10 8.37759e-09 9.24956e-08 6.52885e-09 2.02861e-07 1.46538e-08 3.86376e-07 1.27151e-10 1.13245e-06 8.22224e-07 3.13557e-05 2.13442e-07 4.80519e-04 1.08823e-01 8.81952e-01 8.29788e-01 9.98133e-02 1.51479e-02 9.00831e-03 7.22860e-07 8.20367e-07 7.79570e-21 1.37678e-10 2.34010e-19 5.81424e-10 8.62298e-07 1.36408e-06 1.90496e-09 4.77269e-06 2.12835e-07 1.11219e-06 8.27243e-12 1.11129e-24 2.59397e-21 4.74106e-21 2.43896e-12 8.12919e-21 4.18750e-25
1.64689e+03 1.42291e+13 2.09800e+39 1.14338e-09 2.39882e+30 1.24813e+05 1.98838e-07 3.06021e-10 5.12914e-10 4.90377e-14 1.03568e-09 2.82179e-10 6.77101e-09 7.45068e-08 5.24247e-09 1.64845e-07 1.17665e-08 3.14886e-07 1.01491e-10 9.23016e-07 6.70465e-07 3.42678e-05 2.34659e-07 4.81406e-04 1.08815e-01 8.82768e-01 8.29030e-01 9.97222e-02 1.52870e-02 9.09103e-03 5.89422e-07 6.68931e-07 8.45284e-21 1.49283e-10 1.91724e-19 4.76359e-10 9.45183e-07 1.49520e-06 1.53139e-09 5.24729e-06 2.34000e-07 9.06494e-07 6.74240e-12 1.11129e-24 2.59484e-21 4.74106e-21 1.94244e-12 8.12965e-21 4.18750e-25
1.74490e+03 1.50759e+13 2.49529e+39 1.14490e-09 2.85686e+30 1.24999e+05 1.62828e-07 2.50902e-10 4.18077e-10 4.14006e-14 8.41910e-10 2.31667e-10 5.48758e-09 6.01474e-08 4.20675e-09 1.34295e-07 9.44288e-09 2.57504e-07 8.08579e-11 7.54987e-07 5.48744e-07 3.62745e-05 2.49386e-07 4.81974e-04 1.08806e-01 8.83409e-01 8.28358e-01 9.96414e-02 1.54071e-02 9.16246e-03 4.82398e-07 5.47470e-07 8.88639e-21 1.56939e-10 1.57644e-19 3.91685e-10 1.00616e-06 1.59166e-06 1.23105e-09 5.57669e-06 2.48689e-07 7.41464e-07 5.51485e-12 1.11129e-24 2.59616e-21 4.74106e-21 1.54267e-12 8.13041e-21 4.18750e-25
1.84873e+03 1.59731e+13 2.96780e+39 1.14403e-09 3.39525e+30 1.25015e+05 1.36916e-07 2.11260e-10 3.49692e-10 3.59899e-14 7.02052e-10 1.95380e-10 4.56069e-09 4.97969e-08 3.45256e-09 1.12132e-07 7.75260e-09 2.15986e-07 6.58870e-11 6.33526e-07 4.60813e-07 3.72309e-05 2.56592e-07 4.82169e-04 1.08795e-01 8.83853e-01 8.27780e-01 9.95718e-02 1.55063e-02 9.22145e-03 4.05087e-07 4.59730e-07 9.05995e-21 1.60004e-10 1.32788e-19 3.29928e-10 1.04194e-06 1.64826e-06 1.01304e-09 5.73779e-06 2.55873e-07 6.22171e-07 4.62751e-12 1.11129e-24 2.59821e-21 4.74106e-21 1.25173e-12 8.13164e-21 4.18750e-25
1.95875e+03 1.69236e+13 3.52979e+39 1.13774e-09 4.01598e+30 1.24871e+05 1.18833e-07 1.83622e-10 3.01802e-10 3.23172e-14 6.03962e-10 1.70137e-10 3.91011e-09 4.25652e-08 2.91917e-09 9.65489e-08 6.56000e-09 1.86935e-07 5.54007e-11 5.48687e-07 3.99476e-07 3.73155e-05 2.57563e-07 4.82054e-04 1.08784e-01 8.84139e-01 8.27273e-01 9.95109e-02 1.55892e-02 9.27077e-03 3.51162e-07 3.98530e-07 9.01758e-21 1.59256e-10 1.15197e-19 2.86220e-10 1.05709e-06 1.67223e-06 8.59764e-10 5.75939e-06 2.56837e-07 5.38844e-07 4.00769e-12 1.11129e-24 2.60139e-21 4.74107e-21 1.04672e-12 8.13367e-21 4.18750e-25
